feature,importance
Region,7.931674457137548
ReferralSource,7.44189758918007
SpendCategoriesUsed,6.151554463833165
Room_Floor,5.755676766121212
AllInclusive,5.571213565718773
Room_Wing,4.76765995556843
BookingDayOfWeek,4.337805519156064
TotalSpend_Log,4.301686938707435
PromoCode,4.19774730103161
BookingDayOfYear,3.2083325600363266
Spa,3.1157603715445585
Dining_Ratio,3.090122781540706
Room_View,2.8350346543817886
LoyaltyPoints,2.4348076563855163
Age,2.130758249146372
Entertainment,2.048213667028335
Entertainment_Log,2.0116922529127432
Spa_Ratio,1.9770444864478154
TotalSpend,1.8567317312931566
RoomService,1.7550768344863386
AI_Europe,1.682451647020064
DaysSinceEmail,1.6743759605027717
Retail_Ratio,1.6438330133893124
PackageType,1.625000981379936
Dining,1.6009052918976683
Spa_Log,1.4134236097199502
BookingIsWeekend,1.4087049826445142
RoomService_Log,1.3789001516110304
Dining_Log,1.254233822249436
AgeGroup,1.1283864910902517
Retail_Log,1.108452729173825
Entertainment_Ratio,1.1072609001137745
Retail,1.0281417448485268
SurveyScore,0.9648584965380055
RoomService_Ratio,0.905892978040239
HasPromo,0.9015985733441989
BookingChannel,0.5284978464064887
Dining_Missing,0.2946198738853175
AI_Adventure,0.26381951295697437
BookingQuarter,0.2533790033468324
BookingMonth,0.22528051440031646
VIP,0.1840719206458503
BookingYear,0.1693766169809534
RoomService_Missing,0.1460096477120593
AllInclusive_Missing,0.05680648190188903
Entertainment_Missing,0.04434643236060549
Region_Missing,0.03502590385163495
Retail_Missing,0.02141594486478453
PackageType_Missing,0.01789036954599029
VIP_Missing,0.01254675591883216
Spa_Missing,0.0
DiningPerDollar,0.0
Room_Missing,0.0
Age_Missing,0.0
